Country,Tree Cover Loss (ha),Tree Cover Loss (mha),Rate of loss per year (%),REDD+ phase 1 and 2 finance (USD million),Development finance (USD million),Results-based REDD+ finance commitments (USD million),Results-based REDD+ finance disbursements (USD million),Results-based REDD+ finance commitments (USD million) - bilateral,Results-based REDD+ finance disbursements (USD) - bilateral,FCPF Carbon Fund commitments based on LoIs and average price of 5USD,BioCarbon Fund ISFL,REDD+ phase 1 and 2 bilateral finance (USD million commitments/disbursements),REDD+ phase 1 and 2 bilateral finance (commitments/disbursements?),REDD+ phase 1 and 2 finance commitments (USD million) - multilateral
Micronesia,77,0.000077,0.0021,0,,0,0,,,,,0,,
Moldova,3161,0.003161,0.0015,0,,0,0,,,,,0,,
Mongolia,55252,0.055252,0.0023,4,12,0,0,,,,,0,,4
Montenegro,5984,0.005984,0.0016,0,2,0,0,,,,,0,,
Morocco,9541,0.009541,0.0025,0,48,0,0,,,,,0,,
Mozambique,1029277,1.029277,0.0059,9,67,43.5,0,,,43.5,,0,,9
Myanmar,1403656,1.403656,0.0055,8,25,0,0,,,,,0,,8
Namibia,130,0.00013,0.0057,0,1,0,0,,,,,0,,
Nepal,12786,0.012786,0.0004,9.818,34,70,0,,,70,,1.818,1818000,8
Nicaragua,444658,0.444658,0.0095,9.1,13,55,0,,,55,,0.1,100000,9
Nigeria,274644,0.274644,0.0046,8,,0,0,,,,,0,,8
North Korea,67960,0.06796,0.0022,0,,0,0,,,,,0,,
Pakistan,1523,0.001523,0.0003,4,9,0,0,,,,,0,,4
Palau,206,0.000206,0.0008,0,,0,0,,,,,0,,
Palestine,4,0.000004,0.001,0,,0,0,,,,,0,,
Panama,94181,0.094181,0.0028,12,3,0,0,,,,,0,,12
Papua New Guinea,538312,0.538312,0.0021,14,18,0,0,,,,,0,,14
Paraguay,2353402,2.353402,0.0161,11,5,0,0,,,,,0,,11
Peru,1124439,1.124439,0.0024,43.98,30,274,0,242,,32,,3.98,3980000,40
Philippines,422712,0.422712,0.0038,14,121,0,0,,,,,0,,14
Republic of Congo,280492,0.280492,0.0018,13,8,58.5,0,,,58.5,,0,,13
